"z_treatment_effect","z_se"
0.038984005468216,0.065
0.00799768138344121,0.064
-0.0619745727956254,0.071
0.0689800404975412,0.042
0.0629739633558341,0.062
0.105969337575933,0.042
0.0809665243146439,0.06
0.0789771478160255,0.042
0.118950819672131,0.061
0.0449869829331791,0.018
0.0339859484777518,0.027
0.142958554729012,0.062
-0.0389886967442759,0.063
-0.0809667805878332,0.07
0.0319868762816131,0.07
0.11993678665496,0.0729073587519566
-0.139925040157059,0.0743763945051685
0.122967365348899,0.061
-0.149960201644999,0.064
0.0314519411136754,0.0629038822273508
0.0239696303998129,0.0479392607996257
0.0562029249839565,0.115215996217111
0.163667678080943,0.167007834776473
-0.860563410456345,0.419973270409043
0.438513662870815,0.147459371790974
0.0491449007876723,0.167159526488682
0.121977527148587,0.16989726995696
0.438142612848386,0.157495605267856
0.275955036912344,0.125979473373027
0.132750018585857,0.102579559816344
0.214133569234902,0.100062415530328
0.0329880478087649,0.051
0.274821987100387,0.112
0.0789765879679937,0.03
0.0289894965592177,0.033
0.119804703673102,0.099412413686191
0.156044314378126,0.120230865176589
0.192847278857412,0.124
0.098479309729313,0.122596691703839
-0.159912400836835,0.103
-0.095935754100963,0.11
0.0329880478087649,0.051
-0.0522203877675773,0.0883729639143616
0.12916048572099,0.0883729639143616
0.114049349777754,0.0150708069349175
0.0489346241276663,0.0151059057089752
0.0894488465078677,0.040268088163806
0.0321795788702379,0.00981930764862981
0.171042139054467,0.0863713575026484
0.199657121664637,0.0840532657838746
0.0272130736394182,0.0827170130080897
0.0751743723730546,0.0249
0.102964898330115,0.0224
-0.0166611618775001,0.0793388660833337
0.0887681563551466,0.0758702191069629
