"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bangladesh,494.017,555.718,592.907,627.666,659.736,687.487,709.97,729.092,752.731,795.262,842.051,886.091,928.71,970.529,1014.17,1062.199,1112.386,1167.323,1215.363,1274.862,1351.219,1422.389,1489.72,1579.896,1696.554,1834.96,1995.836,2159.368,2299.029,2414.663,2562.299,2754.038,3062.845,3251.752,3499.974,3724.263,4028.604,4354.429,4766.915,5216.803,5138.581,5752.239,6188.436,6691.204,7241.921,7837.634
Barbados,6007.117,6427.933,6471.208,6740.291,7215.782,7504.393,8020.451,8403.871,8972.838,9625.668,9622.4,9526.909,9156.765,9416.202,9775.201,10145.814,10701.669,11359.391,11872.232,12039.236,12812.378,12743.834,13009.754,13500.274,14015.867,14975.115,16241.837,16976.829,17354.298,16530.412,16276.22,16443.726,15425.321,15432.539,15252.103,15571.249,15996.873,15817.713,16062.311,16291.664,14568.188,15951.431,16828.671,17404.764,18018.248,18661.573
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5263.051,5373.126,4957.308,4678.546,4224.317,3854.054,4047.478,4610.297,5079.927,5339.919,5790.52,6217.683,6672.87,7326.577,8443.677,9593.496,10947.659,12278.896,13854.083,14023.683,15309.124,16529.385,18070.541,18952.467,18968.943,18057.638,17732.348,18267.244,19321.345,19942.331,19758.647,20744.331,21636.641,22340.26,23036.239,23908.269
Belgium,10780.847,11758.003,12569.973,13098.438,13912.854,14583.019,15145.962,15869.153,17185.645,18382.436,19628.827,20583.585,21300.248,21495.82,22590.786,23544.701,24262.713,25549.018,26286.501,27552.637,29143.201,30038.584,30895.205,31653.936,33535.521,35215.444,36975.222,39092.606,39722.104,38901.795,40157.982,41082.422,42409.301,43755.157,45043.18,46365.188,48696.205,50829.933,52607.441,54028.794,50114.205,53804.814,55983.432,58020.696,59903.595,61683.013
Belize,1377.42,1507.954,1453.157,1558.053,1749.416,1730.971,1841.107,2242.629,2523.548,2950.808,3308.905,3714.754,4151.51,4384.387,4357.084,4364.236,4395.438,4470.86,4520.706,4894.687,5505.079,5743.709,5959.487,6469.202,6784.38,6950.998,7314.184,7353.908,7554.022,7429.306,7564.524,7642.077,7213.285,7144.129,7059.995,7099.231,6997.72,6886.896,7014.915,6819.227,5695.114,6145.267,6438.55,6619.504,6746.298,6878.548
Benin,985.968,1063.194,1113.655,1098.405,1107.704,1154.014,1172.064,1140.745,1183.111,1160.184,1271.436,1324.489,1347.054,1409.241,1418.955,1486.51,1530.289,1596.85,1629.847,1675.25,1759.72,1837.801,1895.003,1936.882,2015.637,2052.522,2135.261,2258.494,2347.921,2353.634,2364.117,2416.334,2498.52,2669.726,2833.448,2886.832,3004.745,3044.381,3235.056,3422.51,3443.3,3593.96,3806.089,4033.478,4278.308,4540.545
Bhutan,475.645,576.054,645.038,703.309,765.269,800.973,854.752,1017.343,1174.526,1264.384,1415.019,1537.368,1626.439,1747.92,1850.042,2014.323,2156.74,2280.015,2384.716,2519.804,2681.495,2847.391,3077.62,3366.331,3629.338,3921.261,4251.74,4867.447,5439.096,5727.858,6266.929,6943.475,7599.81,7894.249,8382.376,9295.718,10129.569,10918.792,11466.847,11968.249,12057.565,12117.513,12891.724,13864.407,15092.778,16110.882
Bolivia,2072.068,2101.363,2099.493,2050.721,2077.098,2063.79,2009.207,2066.485,2156.587,2278.521,2422.799,2582.74,2630.192,2729.451,2836.766,2972.502,3097.249,3242.295,3377.019,3374.626,3470.084,3539.325,3617.847,3717.463,3907.094,4134.233,4387.731,4632.349,4930.075,5050.833,5235.017,5533.243,6001.991,6604.731,7039.772,7116.485,7489.875,8406.743,8841.137,9064.103,8342.242,8872.52,9281.102,9683.744,10084.596,10506.669
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3031.255,3815.571,4396.23,4924.592,5247.082,5482.975,5844.949,6181.555,6739.797,7238.313,7877.602,8586.571,9262.916,9301.99,9564.505,9971.438,10292.31,11003.757,11410.811,12013.848,13069.486,13836.658,14828.094,15603.618,14894.613,16063.237,17070.975,18044.186,19127.315,20265.94
Botswana,1892.656,2200,2610.331,2898.262,3084.572,3305.058,3532.05,4011.153,4944.471,5189.404,5645.923,6021.481,5972.388,6186.448,6105.218,6506.407,6847.432,7357.726,7339.317,8011.08,8211.589,8287.645,8812.941,9278.772,9669.607,10294.855,11340.974,12435.689,13280.947,12191.289,13220.285,14003.012,13266.773,14251.861,15699.802,14924.493,16567.545,16601.827,17441.004,17948.68,16152.655,17622.997,18377.335,19120.207,19913.099,20754.423
